posting_year,city,company_size,industry,job_title,seniority_level,ai_intensity_score,salary_usd,automation_risk_score,ai_job_displacement_risk,industry_ai_adoption_stage
2024,Lagos,Medium,Energy,AI Researcher,Senior,0.6,93525,0.29,Low,Growing
2018,New York,Large,Tech,Software Engineer,Mid,0.59,116414,0.14,High,Growing
2012,Sydney,Enterprise,Manufacturing,AI Researcher,Mid,0.03,21613,0.75,Medium,Emerging
2020,Nairobi,Small,Healthcare,Research Scientist,Mid,0.11,44460,0.61,Low,Growing
2013,Toronto,Large,Education,Data Scientist,Senior,0.04,75867,0.79,High,Emerging
2025,Singapore,Medium,Education,Software Engineer,Senior,0.95,102054,0.38,Low,Growing
2010,Dubai,Startup,Tech,Policy Analyst,Senior,0.01,28948,0.79,Low,Emerging
2021,Tokyo,Enterprise,Education,AI Researcher,Mid,0.18,77985,0.67,Medium,Growing
2018,Bangalore,Small,Finance,Business Analyst,Lead,0.44,94459,0.37,Medium,Growing
2012,Sao Paulo,Enterprise,Manufacturing,AI Researcher,Mid,0.04,62981,0.8,Low,Emerging
2017,Nairobi,Enterprise,Government,Research Scientist,Intern,0.14,79132,0.75,Low,Growing
2020,Singapore,Large,Healthcare,Product Manager,Senior,0.83,92270,0.14,Low,Growing
2019,Lagos,Startup,Finance,AI Researcher,Senior,0.16,26828,0.83,Low,Growing
2016,London,Large,Government,ML Engineer,Junior,0.16,77552,0.86,Low,Emerging
2011,Paris,Startup,Finance,Business Analyst,Senior,0.03,18789,0.66,Medium,Emerging
2024,London,Small,Energy,Software Engineer,Senior,0.07,91834,0.81,Low,Growing
2022,Toronto,Startup,Education,Research Scientist,Lead,0.56,63211,0.28,High,Growing
2018,Seoul,Enterprise,Tech,Data Scientist,Intern,0.15,90580,0.64,Low,Growing
2022,Lagos,Startup,Government,ML Engineer,Senior,0.91,107683,0.37,Medium,Growing
2024,Bangalore,Medium,Retail,Data Scientist,Senior,0.82,133651,0.25,Medium,Growing
2022,Tokyo,Medium,Education,Research Scientist,Mid,0.43,41596,0.37,High,Growing
2025,London,Large,Finance,Systems Engineer,Intern,0.63,70024,0.27,High,Mature
2017,Toronto,Large,Government,Data Scientist,Senior,0.02,24616,0.72,High,Growing
2025,Nairobi,Startup,Education,Product Manager,Intern,0.84,39263,0.24,High,Growing
2016,Seoul,Enterprise,Finance,Operations Manager,Senior,0.86,74229,0.28,Medium,Emerging
2019,Sao Paulo,Medium,Government,Policy Analyst,Mid,0.48,54384,0.15,Medium,Growing
2023,New York,Large,Tech,Operations Manager,Senior,0.52,112533,0.26,Medium,Mature
2025,Paris,Enterprise,Government,ML Engineer,Executive,0.92,120334,0.14,Medium,Growing
2016,New York,Startup,Education,Systems Engineer,Lead,0.04,72698,0.68,High,Emerging
2024,New York,Large,Agriculture,Business Analyst,Lead,0.48,34105,0.35,Low,Growing
2010,Tokyo,Small,Manufacturing,Business Analyst,Junior,0.19,39247,0.6,High,Emerging
2022,London,Small,Tech,Systems Engineer,Junior,0.54,49839,0.37,High,Mature
2012,Toronto,Small,Manufacturing,Business Analyst,Intern,0.11,20781,0.85,High,Emerging
2010,New York,Medium,Tech,Data Scientist,Intern,0.69,92479,0.15,Medium,Emerging
2014,Lagos,Startup,Finance,Product Manager,Junior,0.05,32743,0.7,Low,Emerging
2020,Toronto,Enterprise,Manufacturing,Policy Analyst,Junior,0.16,82855,0.71,Medium,Growing
2014,Toronto,Large,Energy,Data Scientist,Lead,0.4,90269,0.27,Low,Emerging
2014,Sao Paulo,Small,Education,Research Scientist,Mid,0.19,66191,0.68,High,Emerging
2012,Nairobi,Small,Energy,Operations Manager,Mid,0.13,18549,0.89,High,Emerging
2023,Nairobi,Large,Healthcare,AI Researcher,Executive,0.78,31642,0.39,Low,Growing
2020,Toronto,Enterprise,Manufacturing,Systems Engineer,Executive,0.1,21046,0.71,High,Growing
2018,Sao Paulo,Startup,Agriculture,Research Scientist,Mid,0.03,86042,0.89,High,Growing
2025,Bangalore,Small,Energy,AI Researcher,Senior,0.78,69468,0.14,High,Growing
2014,Bangalore,Small,Government,Operations Manager,Mid,0.14,42165,0.65,Medium,Emerging
2020,Nairobi,Medium,Agriculture,Systems Engineer,Executive,0.06,20998,0.67,Low,Growing
2019,Dubai,Small,Government,Systems Engineer,Mid,0,74453,0.77,High,Growing
2020,Sydney,Medium,Retail,Data Scientist,Executive,0.01,26355,0.67,Low,Growing
2022,Tokyo,Medium,Tech,AI Researcher,Junior,0.95,32696,0.27,Medium,Mature
2017,Nairobi,Startup,Education,Data Scientist,Executive,0.05,57055,0.65,Low,Growing
2012,London,Startup,Energy,Product Manager,Lead,0.16,70341,0.75,High,Emerging
2019,Tokyo,Startup,Finance,Policy Analyst,Intern,0.03,27785,0.64,Medium,Growing
2018,Singapore,Enterprise,Finance,Systems Engineer,Senior,0.09,58897,0.83,Medium,Growing
2013,Lagos,Small,Energy,Product Manager,Junior,0.01,80182,0.71,Low,Emerging
2014,Dubai,Medium,Tech,Software Engineer,Mid,0.13,78422,0.8,Low,Emerging
2011,Berlin,Medium,Finance,Policy Analyst,Lead,0.08,63362,0.66,Low,Emerging
2013,Sydney,Enterprise,Energy,Data Scientist,Executive,0.11,18750,0.81,High,Emerging
2014,Seoul,Small,Government,ML Engineer,Executive,0.14,89772,0.8,Medium,Emerging
2017,Sydney,Enterprise,Tech,Business Analyst,Senior,0.75,48482,0.26,High,Growing
2012,Singapore,Medium,Agriculture,AI Researcher,Mid,0.18,27831,0.73,High,Emerging
2014,New York,Startup,Tech,Systems Engineer,Senior,0.53,27967,0.34,High,Emerging
2013,New York,Medium,Healthcare,Business Analyst,Lead,0.03,62946,0.7,High,Emerging
2017,Nairobi,Enterprise,Agriculture,Policy Analyst,Junior,0.06,58512,0.66,Medium,Growing
2019,Sao Paulo,Startup,Education,Business Analyst,Senior,0.19,23708,0.77,Low,Growing
2014,New York,Small,Retail,Business Analyst,Intern,0.07,59829,0.64,Low,Emerging
2011,New York,Startup,Manufacturing,Systems Engineer,Senior,0.17,32437,0.86,High,Emerging
2019,Singapore,Large,Manufacturing,Systems Engineer,Lead,0.01,38750,0.72,Low,Growing
2014,Toronto,Enterprise,Manufacturing,Product Manager,Intern,0.08,71719,0.74,Low,Emerging
2018,Toronto,Enterprise,Finance,Software Engineer,Lead,0.13,66333,0.61,High,Growing
2019,Seoul,Startup,Finance,Data Scientist,Mid,0.45,105289,0.13,High,Growing
2010,New York,Medium,Manufacturing,Software Engineer,Mid,0.1,29226,0.68,Medium,Emerging
2020,Nairobi,Small,Government,Business Analyst,Intern,0.03,67813,0.78,High,Growing
2010,London,Small,Education,Business Analyst,Intern,0.14,62917,0.78,Low,Emerging
2017,Sao Paulo,Enterprise,Finance,Systems Engineer,Intern,0.86,44435,0.28,Medium,Growing
2018,Sao Paulo,Medium,Government,Policy Analyst,Intern,0.08,89389,0.71,Low,Growing
2012,Bangalore,Large,Government,Data Scientist,Senior,0.15,29147,0.77,Low,Emerging
2011,Seoul,Enterprise,Manufacturing,Business Analyst,Junior,0.56,69462,0.21,High,Emerging
2015,Singapore,Enterprise,Education,Data Scientist,Mid,0.1,24239,0.82,High,Emerging
2025,Berlin,Small,Government,Policy Analyst,Senior,0.78,63691,0.32,High,Growing
2012,Toronto,Medium,Education,Data Scientist,Mid,0.16,41491,0.78,Medium,Emerging
2013,Singapore,Small,Energy,Business Analyst,Senior,0.08,71510,0.66,Low,Emerging
2025,Sydney,Small,Tech,Product Manager,Mid,0.47,42982,0.32,High,Mature
2010,Seoul,Startup,Tech,Software Engineer,Senior,0.16,48582,0.62,High,Emerging
2012,Nairobi,Startup,Healthcare,Systems Engineer,Lead,0,55744,0.64,Low,Emerging
2011,Tokyo,Medium,Manufacturing,Product Manager,Executive,0.1,20703,0.88,Low,Emerging
2016,Sao Paulo,Enterprise,Finance,ML Engineer,Junior,0.08,77332,0.62,High,Emerging
2012,London,Large,Energy,Product Manager,Junior,0,19570,0.77,Medium,Emerging
2018,Bangalore,Small,Retail,Systems Engineer,Executive,0.06,25045,0.68,Low,Growing
2010,Dubai,Startup,Agriculture,ML Engineer,Senior,0.1,48155,0.81,High,Emerging
2018,Lagos,Small,Energy,ML Engineer,Junior,0.02,78430,0.72,Low,Growing
2025,Toronto,Small,Government,Software Engineer,Lead,0.19,31580,0.85,Low,Growing
2016,Paris,Large,Energy,AI Researcher,Junior,0.65,56624,0.21,Medium,Emerging
2014,Seoul,Medium,Healthcare,Data Scientist,Senior,0.11,20228,0.87,High,Emerging
2021,Toronto,Small,Healthcare,Systems Engineer,Executive,0.74,41093,0.14,Medium,Growing
2020,Bangalore,Medium,Retail,ML Engineer,Senior,0.93,71057,0.13,Medium,Growing
2014,Tokyo,Medium,Education,AI Researcher,Lead,0.77,49619,0.29,High,Emerging
2017,Sao Paulo,Large,Finance,AI Researcher,Junior,0.16,68790,0.74,Medium,Growing
2013,Lagos,Large,Energy,Software Engineer,Mid,0.09,65556,0.69,Low,Emerging
2010,Nairobi,Medium,Healthcare,Software Engineer,Executive,0.07,51994,0.78,Medium,Emerging
2015,Toronto,Enterprise,Healthcare,Product Manager,Mid,0.06,75985,0.74,Low,Emerging
2021,Lagos,Startup,Tech,Data Scientist,Junior,0.58,35384,0.24,Low,Growing
2010,Berlin,Startup,Government,Product Manager,Executive,0.09,54489,0.69,High,Emerging
2020,Dubai,Large,Government,Business Analyst,Mid,0.2,62668,0.84,High,Growing
2010,New York,Enterprise,Agriculture,ML Engineer,Junior,0.17,39913,0.87,High,Emerging
2010,Dubai,Small,Agriculture,Operations Manager,Mid,0.09,59097,0.75,High,Emerging
2013,Toronto,Large,Retail,Policy Analyst,Mid,0.18,72390,0.76,Medium,Emerging
2010,Bangalore,Large,Tech,Software Engineer,Intern,0.83,23783,0.29,Medium,Emerging
2021,Sao Paulo,Large,Finance,Research Scientist,Executive,0.76,93529,0.25,High,Growing
2012,Seoul,Large,Energy,Operations Manager,Executive,0.2,19406,0.61,Low,Emerging
2010,Paris,Enterprise,Government,Data Scientist,Junior,0.08,17940,0.81,Medium,Emerging
2012,Nairobi,Large,Healthcare,Research Scientist,Senior,0.03,58598,0.81,Low,Emerging
2025,New York,Medium,Finance,Data Scientist,Senior,0.79,95835,0.24,Low,Mature
2021,Sao Paulo,Large,Manufacturing,Operations Manager,Executive,0.02,59719,0.67,Medium,Growing
2015,Sydney,Enterprise,Healthcare,Data Scientist,Mid,0.13,41847,0.69,Low,Emerging
2020,Nairobi,Startup,Energy,ML Engineer,Senior,0.1,72335,0.69,Low,Growing
2022,Berlin,Small,Energy,Research Scientist,Senior,0.08,92105,0.88,High,Growing
2010,Bangalore,Medium,Finance,Systems Engineer,Lead,0.03,47670,0.66,High,Emerging
2017,Berlin,Enterprise,Finance,Data Scientist,Lead,0.4,29002,0.13,Medium,Growing
2024,Berlin,Medium,Tech,AI Researcher,Junior,0.69,97757,0.26,Medium,Mature
2019,Toronto,Large,Manufacturing,Research Scientist,Senior,0.07,84521,0.86,Low,Growing
2021,Bangalore,Small,Government,Data Scientist,Executive,0.09,24609,0.87,Low,Growing
2024,London,Enterprise,Healthcare,Software Engineer,Senior,0.68,79785,0.31,Medium,Growing
2011,Seoul,Large,Retail,Business Analyst,Senior,0.08,67257,0.62,Low,Emerging
2014,New York,Medium,Agriculture,Research Scientist,Lead,0.07,70943,0.72,Low,Emerging
2022,Bangalore,Startup,Government,AI Researcher,Junior,0.66,117424,0.24,High,Growing
2012,Sao Paulo,Medium,Tech,Software Engineer,Senior,0.02,59779,0.6,Low,Emerging
2025,Dubai,Small,Healthcare,Research Scientist,Lead,0.12,62337,0.8,Medium,Growing
2019,Sao Paulo,Small,Manufacturing,Business Analyst,Intern,0.08,40136,0.82,Medium,Growing
2021,Sao Paulo,Small,Finance,Policy Analyst,Intern,0.63,140177,0.33,Medium,Growing
2019,Seoul,Enterprise,Energy,ML Engineer,Mid,0.06,91253,0.62,Medium,Growing
2023,London,Small,Education,Software Engineer,Lead,0.94,145890,0.37,Low,Growing
2023,Paris,Enterprise,Finance,ML Engineer,Junior,0.8,31860,0.38,Low,Mature
2015,Seoul,Large,Agriculture,Business Analyst,Lead,0.11,20253,0.89,Low,Emerging
2013,Sydney,Enterprise,Government,ML Engineer,Senior,0.14,22484,0.62,High,Emerging
2023,London,Enterprise,Agriculture,Data Scientist,Intern,0.55,107438,0.33,High,Growing
2024,New York,Startup,Retail,Business Analyst,Lead,0.12,72269,0.75,High,Growing
2012,New York,Large,Retail,Systems Engineer,Mid,0.08,61889,0.67,Medium,Emerging
2024,Toronto,Small,Manufacturing,ML Engineer,Mid,0.5,133055,0.33,Low,Growing
2010,Sydney,Enterprise,Government,Product Manager,Executive,0.11,34876,0.61,Medium,Emerging
2020,Singapore,Startup,Manufacturing,ML Engineer,Executive,0.01,27002,0.76,Medium,Growing
2015,New York,Enterprise,Agriculture,Data Scientist,Junior,0.2,82390,0.73,Low,Emerging
2015,Toronto,Small,Tech,ML Engineer,Senior,0.19,20842,0.64,High,Emerging
2017,London,Startup,Healthcare,ML Engineer,Executive,0.18,83399,0.68,High,Growing
2020,Singapore,Small,Energy,AI Researcher,Intern,0.75,58975,0.2,High,Growing
2019,Lagos,Medium,Healthcare,Operations Manager,Executive,0.59,59872,0.32,Medium,Growing
2021,Seoul,Medium,Energy,Research Scientist,Intern,0.13,79521,0.84,Medium,Growing
2015,Paris,Enterprise,Healthcare,Data Scientist,Intern,0.19,18607,0.7,High,Emerging
2018,Dubai,Large,Tech,AI Researcher,Executive,0.47,110984,0.39,Medium,Growing
2020,Tokyo,Startup,Agriculture,Operations Manager,Intern,0.6,108308,0.35,Medium,Growing
2021,Singapore,Enterprise,Energy,Systems Engineer,Junior,0.71,38486,0.21,High,Growing
2017,New York,Small,Retail,Software Engineer,Senior,0.03,66911,0.64,Medium,Growing
2020,Nairobi,Startup,Healthcare,AI Researcher,Intern,0.01,70983,0.79,High,Growing
2012,Nairobi,Medium,Healthcare,Business Analyst,Executive,0.06,20435,0.66,Low,Emerging
2021,Seoul,Medium,Healthcare,Software Engineer,Junior,0.06,88218,0.68,Low,Growing
2013,Toronto,Medium,Education,AI Researcher,Lead,0.15,65179,0.81,Low,Emerging
2014,New York,Startup,Finance,Research Scientist,Mid,0.89,29983,0.4,High,Emerging
2022,Seoul,Medium,Energy,Software Engineer,Executive,0.03,78243,0.8,High,Growing
2014,Lagos,Large,Education,Software Engineer,Intern,0.13,39071,0.89,Medium,Emerging
2010,Nairobi,Small,Finance,Systems Engineer,Intern,0.16,59981,0.67,Low,Emerging
2014,Sao Paulo,Large,Retail,Software Engineer,Executive,0.82,42932,0.35,Low,Emerging
2011,Dubai,Large,Energy,Research Scientist,Junior,0,54022,0.72,Low,Emerging
2010,Tokyo,Enterprise,Tech,Business Analyst,Junior,0.18,32630,0.73,Medium,Emerging
2015,Seoul,Large,Education,Product Manager,Lead,0.15,82390,0.64,Low,Emerging
2023,Paris,Small,Tech,AI Researcher,Senior,0.1,43762,0.73,Medium,Mature
2024,London,Enterprise,Retail,Systems Engineer,Junior,0.92,101656,0.25,Low,Growing
2022,Toronto,Startup,Tech,Business Analyst,Executive,0.46,61853,0.12,High,Mature
2019,Lagos,Startup,Energy,Product Manager,Mid,0.18,38797,0.65,Medium,Growing
2018,Sao Paulo,Large,Education,Business Analyst,Mid,0.2,24375,0.86,Low,Growing
2023,Lagos,Small,Healthcare,AI Researcher,Senior,0.61,69888,0.31,Medium,Growing
2016,New York,Startup,Manufacturing,AI Researcher,Senior,0.12,72317,0.87,High,Emerging
2016,Berlin,Large,Government,Business Analyst,Lead,0.76,102077,0.19,High,Emerging
2025,Lagos,Small,Retail,AI Researcher,Mid,0.63,126060,0.37,Low,Growing
2016,London,Small,Agriculture,Software Engineer,Senior,0.08,46373,0.75,Low,Emerging
2024,Dubai,Startup,Energy,Software Engineer,Executive,0.05,78592,0.83,Low,Growing
2016,Dubai,Small,Government,Data Scientist,Junior,0.16,22596,0.8,Low,Emerging
2014,Dubai,Enterprise,Finance,Data Scientist,Senior,0.19,25489,0.76,Low,Emerging
2018,Toronto,Startup,Energy,ML Engineer,Executive,0.2,75489,0.83,Low,Growing
2025,Nairobi,Startup,Government,ML Engineer,Senior,0.59,54918,0.15,High,Growing
2021,Bangalore,Enterprise,Education,Software Engineer,Executive,0.17,83309,0.62,Low,Growing
2011,Lagos,Large,Education,ML Engineer,Intern,0.01,74944,0.73,High,Emerging
2019,Toronto,Large,Agriculture,Product Manager,Senior,0.19,63060,0.62,Medium,Growing
2015,Nairobi,Startup,Agriculture,Business Analyst,Mid,0.12,40230,0.6,Low,Emerging
2016,Toronto,Large,Healthcare,Data Scientist,Lead,0.18,20254,0.71,High,Emerging
2012,London,Enterprise,Energy,Policy Analyst,Junior,0.13,17773,0.74,Medium,Emerging
2014,Sydney,Large,Government,Operations Manager,Junior,0.2,17919,0.71,High,Emerging
2017,Dubai,Large,Education,AI Researcher,Mid,0.15,45073,0.76,Medium,Growing
2016,London,Enterprise,Finance,Operations Manager,Lead,0.1,21452,0.79,Medium,Emerging
2013,Bangalore,Large,Government,Business Analyst,Mid,0.08,60574,0.79,High,Emerging
2015,Dubai,Medium,Energy,Research Scientist,Junior,0.75,28547,0.4,Low,Emerging
2024,Paris,Small,Agriculture,Product Manager,Mid,0.02,40967,0.63,Low,Growing
2022,Sao Paulo,Large,Tech,ML Engineer,Lead,0.63,91953,0.27,Medium,Mature
2025,Sydney,Small,Energy,Research Scientist,Mid,0.53,106889,0.27,Medium,Growing
2021,London,Startup,Education,Operations Manager,Junior,0.1,24343,0.82,High,Growing
2015,Sydney,Small,Healthcare,Software Engineer,Lead,0.1,19258,0.89,High,Emerging
2010,Nairobi,Small,Government,Policy Analyst,Mid,0.15,53570,0.83,High,Emerging
2013,London,Medium,Energy,Product Manager,Senior,0.15,20543,0.88,Medium,Emerging
2017,Singapore,Large,Agriculture,Product Manager,Senior,0.18,38959,0.88,High,Growing
2017,Dubai,Medium,Government,Systems Engineer,Junior,0.05,31327,0.75,High,Growing
2022,Dubai,Medium,Healthcare,Software Engineer,Junior,0.06,83211,0.76,Low,Growing
2010,Tokyo,Enterprise,Agriculture,Business Analyst,Senior,0.61,35708,0.34,Low,Emerging
2015,Nairobi,Medium,Finance,Research Scientist,Executive,0.85,54745,0.21,Medium,Emerging
2016,Tokyo,Small,Retail,Data Scientist,Intern,0.08,22610,0.63,High,Emerging
2012,Paris,Medium,Healthcare,Software Engineer,Lead,0.17,32588,0.87,High,Emerging
2020,Toronto,Enterprise,Finance,Business Analyst,Lead,0.64,127463,0.25,High,Growing
2013,Bangalore,Startup,Energy,ML Engineer,Intern,0.12,69605,0.83,Low,Emerging
2021,Berlin,Small,Energy,Data Scientist,Executive,0.05,33997,0.62,Medium,Growing
2012,London,Startup,Healthcare,Research Scientist,Lead,0.09,34962,0.62,Medium,Emerging
2014,Sydney,Large,Tech,Research Scientist,Executive,0.04,79149,0.7,Medium,Emerging
2014,Lagos,Small,Tech,Business Analyst,Executive,0,34760,0.83,Low,Emerging
2017,New York,Large,Manufacturing,Systems Engineer,Junior,0.05,86378,0.85,Low,Growing
2011,New York,Medium,Government,Operations Manager,Executive,0.2,58477,0.79,Medium,Emerging
2012,Sao Paulo,Small,Retail,Operations Manager,Mid,0.08,64538,0.64,Low,Emerging
2012,Bangalore,Large,Finance,Systems Engineer,Lead,0.15,32182,0.83,Low,Emerging
2019,Tokyo,Small,Tech,Product Manager,Executive,0.45,60345,0.18,Medium,Growing
2024,Tokyo,Startup,Healthcare,Software Engineer,Junior,0.82,93209,0.32,Medium,Growing
2017,Berlin,Small,Manufacturing,AI Researcher,Executive,0.03,25781,0.78,Low,Growing
2017,Berlin,Small,Manufacturing,ML Engineer,Intern,0.13,40394,0.83,Low,Growing
2012,Bangalore,Startup,Agriculture,Product Manager,Senior,0.19,20820,0.65,Medium,Emerging
2016,Sao Paulo,Enterprise,Manufacturing,Business Analyst,Mid,0.11,64330,0.75,Low,Emerging
2015,Paris,Startup,Agriculture,ML Engineer,Intern,0.2,31930,0.77,Medium,Emerging
2025,Sao Paulo,Medium,Manufacturing,AI Researcher,Intern,0.17,92744,0.64,Low,Growing
2022,Bangalore,Startup,Healthcare,Data Scientist,Executive,0.01,29985,0.88,Medium,Growing
2022,Dubai,Medium,Manufacturing,Software Engineer,Executive,0.06,30721,0.78,Medium,Growing
2010,Dubai,Startup,Finance,Policy Analyst,Executive,0.15,59815,0.69,High,Emerging
2022,Berlin,Small,Tech,Research Scientist,Intern,0.54,65767,0.17,Low,Mature
2011,Lagos,Startup,Government,Policy Analyst,Senior,0.04,18237,0.88,Medium,Emerging
2022,Seoul,Medium,Energy,ML Engineer,Executive,0.61,36503,0.4,High,Growing
2018,Bangalore,Small,Government,Research Scientist,Junior,0.14,34024,0.86,Low,Growing
2017,Sao Paulo,Small,Finance,Product Manager,Intern,0.72,126615,0.39,Medium,Growing
2012,Paris,Startup,Government,Systems Engineer,Executive,0.14,35978,0.68,High,Emerging
2012,Lagos,Large,Education,Research Scientist,Senior,0.04,46709,0.72,High,Emerging
2021,Bangalore,Medium,Education,AI Researcher,Lead,0.09,36412,0.63,Low,Growing
2016,New York,Enterprise,Education,Software Engineer,Intern,0.14,35293,0.71,High,Emerging
2015,Dubai,Large,Education,Data Scientist,Executive,0.1,51570,0.9,Low,Emerging
2025,Sydney,Enterprise,Education,Data Scientist,Lead,0.65,80398,0.3,Low,Growing
2015,Singapore,Medium,Tech,Product Manager,Mid,0.08,58636,0.87,Low,Emerging
2019,New York,Large,Finance,Systems Engineer,Lead,0.04,48562,0.86,Low,Growing
2025,Toronto,Small,Manufacturing,Systems Engineer,Junior,0.18,108185,0.68,Medium,Growing
2020,Toronto,Large,Agriculture,Product Manager,Executive,0.08,74052,0.79,Medium,Growing
2010,Seoul,Small,Retail,AI Researcher,Executive,0.03,62654,0.68,Medium,Emerging
2010,Berlin,Small,Retail,Systems Engineer,Lead,0.04,70707,0.77,Medium,Emerging
2011,Bangalore,Startup,Manufacturing,Software Engineer,Intern,0.14,29846,0.9,High,Emerging
2016,Sydney,Large,Manufacturing,AI Researcher,Junior,0.13,60353,0.84,Low,Emerging
2019,Paris,Startup,Finance,Software Engineer,Senior,0,79132,0.74,High,Growing
2016,Singapore,Startup,Education,Policy Analyst,Lead,0.05,19423,0.86,High,Emerging
2015,Toronto,Startup,Government,ML Engineer,Lead,0.17,62687,0.74,Low,Emerging
2016,London,Large,Government,Operations Manager,Senior,0.12,42393,0.89,Low,Emerging
2010,Sao Paulo,Medium,Energy,Policy Analyst,Executive,0.01,19730,0.76,High,Emerging
2023,Berlin,Medium,Retail,AI Researcher,Intern,0,39086,0.64,Medium,Growing
2025,New York,Medium,Agriculture,Data Scientist,Junior,0.1,47202,0.68,Low,Growing
2011,Tokyo,Medium,Finance,AI Researcher,Mid,0.73,89066,0.21,High,Emerging
2018,Sao Paulo,Small,Tech,Software Engineer,Lead,0.04,39016,0.86,Low,Growing
2022,Dubai,Small,Agriculture,Product Manager,Mid,0.01,82293,0.81,High,Growing
2014,Paris,Medium,Manufacturing,ML Engineer,Executive,0.07,20318,0.86,Low,Emerging
2020,Lagos,Medium,Healthcare,Product Manager,Lead,0.09,25366,0.76,High,Growing
2018,New York,Large,Agriculture,Business Analyst,Senior,0.72,30711,0.2,Medium,Growing
2021,Berlin,Medium,Education,Operations Manager,Mid,0.1,23230,0.83,Medium,Growing
2019,Bangalore,Small,Finance,Research Scientist,Mid,0.73,110382,0.12,Low,Growing
2016,New York,Large,Retail,Systems Engineer,Senior,0.1,58164,0.67,Low,Emerging
2025,London,Medium,Energy,Data Scientist,Mid,0.85,69092,0.16,Medium,Growing
2023,Nairobi,Startup,Healthcare,Policy Analyst,Intern,0.84,43914,0.39,Medium,Growing
2012,Sao Paulo,Startup,Government,AI Researcher,Senior,0.07,52547,0.65,Low,Emerging
2010,Singapore,Startup,Finance,Data Scientist,Junior,0.16,66011,0.63,High,Emerging
2023,Berlin,Large,Education,Policy Analyst,Mid,0.77,32255,0.23,Medium,Growing
2018,Nairobi,Startup,Healthcare,Business Analyst,Senior,0.06,72278,0.66,Medium,Growing
2015,London,Enterprise,Government,Business Analyst,Mid,0.08,73457,0.7,Low,Emerging
2016,Tokyo,Small,Retail,ML Engineer,Executive,0.07,64453,0.8,Medium,Emerging
2013,Sao Paulo,Small,Agriculture,Systems Engineer,Lead,0.12,77028,0.83,Low,Emerging
2011,Singapore,Startup,Energy,Data Scientist,Mid,0.08,75384,0.9,High,Emerging
2022,Bangalore,Startup,Agriculture,AI Researcher,Senior,0.47,36887,0.3,Medium,Growing
2021,Paris,Medium,Education,Business Analyst,Senior,0.04,57750,0.89,Low,Growing
2012,Tokyo,Medium,Agriculture,Policy Analyst,Mid,0.13,40488,0.79,Low,Emerging
2023,Lagos,Small,Energy,Data Scientist,Intern,0.51,118440,0.11,Medium,Growing
2023,London,Enterprise,Retail,Product Manager,Lead,0.79,92960,0.13,Medium,Growing
2017,Tokyo,Large,Tech,Business Analyst,Senior,0.62,34771,0.34,Low,Growing
2019,Singapore,Startup,Education,Systems Engineer,Junior,0.5,97118,0.22,Medium,Growing
2017,Singapore,Large,Energy,Data Scientist,Senior,0.03,77479,0.6,Low,Growing
2012,Nairobi,Large,Energy,AI Researcher,Intern,0.12,40552,0.71,High,Emerging
2020,Tokyo,Startup,Government,Business Analyst,Junior,0.12,41245,0.81,High,Growing
2011,New York,Startup,Manufacturing,Data Scientist,Lead,0.13,62686,0.76,Medium,Emerging
2016,Seoul,Startup,Education,Research Scientist,Lead,0.14,20400,0.74,Medium,Emerging
2024,Sao Paulo,Medium,Tech,Research Scientist,Executive,0.59,126439,0.27,Medium,Mature
2011,Singapore,Enterprise,Retail,Systems Engineer,Lead,0.53,46679,0.12,Low,Emerging
2010,Nairobi,Enterprise,Agriculture,ML Engineer,Executive,0.05,46999,0.81,High,Emerging
2010,Sao Paulo,Large,Manufacturing,Software Engineer,Lead,0,55626,0.73,High,Emerging
2023,Seoul,Startup,Agriculture,Research Scientist,Mid,0.01,50202,0.67,Low,Growing
2025,Toronto,Small,Energy,Policy Analyst,Junior,0.87,39663,0.3,High,Growing
2023,Berlin,Large,Tech,Software Engineer,Junior,0.84,112997,0.35,High,Mature
2011,Sydney,Large,Tech,Product Manager,Lead,0.08,66379,0.82,Medium,Emerging
2024,Sao Paulo,Large,Manufacturing,Policy Analyst,Junior,0.94,112178,0.38,Low,Growing
2016,London,Large,Tech,Research Scientist,Lead,0.09,42265,0.84,Low,Emerging
2025,Lagos,Small,Agriculture,ML Engineer,Lead,0.61,65410,0.15,Low,Growing
2022,Berlin,Medium,Education,Operations Manager,Executive,0.02,75008,0.84,High,Growing
2011,London,Medium,Retail,AI Researcher,Intern,0.14,30853,0.85,Medium,Emerging
2012,New York,Medium,Finance,AI Researcher,Senior,0.01,21757,0.74,Medium,Emerging
2013,Singapore,Enterprise,Energy,Systems Engineer,Lead,0.17,19388,0.76,Low,Emerging
2014,New York,Enterprise,Government,Policy Analyst,Lead,0.12,74843,0.65,Low,Emerging
2016,New York,Medium,Agriculture,Operations Manager,Mid,0.18,30913,0.81,Medium,Emerging
2020,Lagos,Large,Manufacturing,Research Scientist,Executive,0,58718,0.67,Medium,Growing
2019,Seoul,Medium,Education,Data Scientist,Executive,0.18,42881,0.88,High,Growing
2024,Berlin,Startup,Retail,Software Engineer,Senior,0.75,74550,0.1,High,Growing
2012,Nairobi,Medium,Agriculture,Policy Analyst,Mid,0.04,61345,0.71,High,Emerging
2013,Dubai,Large,Retail,Software Engineer,Lead,0.11,34700,0.84,High,Emerging
2013,Lagos,Startup,Manufacturing,Research Scientist,Intern,0.15,49863,0.71,Low,Emerging
